29.739415	29.739415	B
30.786200	30.786200	B
31.618259	31.618259	B
32.490580	32.490580	B
33.430002	33.430002	B
34.302322	34.302322	B
35.214904	35.214904	B
36.140905	36.140905	B
37.053487	37.053487	B
37.898966	37.898966	B
38.811548	38.811548	B
39.697288	39.697288	B
40.636710	40.636710	B
41.509031	41.509031	B
42.421612	42.421612	B
43.347614	43.347614	B
44.246775	44.246775	B
45.119095	45.119095	B
46.045097	46.045097	B
46.930838	46.930838	B
47.856839	47.856839	B
48.782841	48.782841	B
49.682002	49.682002	B
50.581163	50.581163	B
51.453483	51.453483	B
52.312383	52.312383	B
53.238385	53.238385	B
54.177807	54.177807	B
55.063548	55.063548	B
55.989549	55.989549	B
56.875290	56.875290	B
57.801292	57.801292	B
58.727293	58.727293	B
59.626454	59.626454	B
60.458514	60.458514	B
61.317414	61.317414	B
62.216575	62.216575	B
63.109026	63.109026	B
64.028317	64.028317	B
64.927478	64.927478	B
65.806509	65.806509	B
29.450923	29.989700	Thunder
33.013972	33.604466	Thunder
36.704558	37.174269	thunder
40.274362	40.730653	Thunder
43.938108	44.407819	Thunder
47.534752	47.991042	Thunder
51.225338	51.641368	Thunder
54.768301	55.184331	Thunder
58.351525	58.861497	Thunder
61.887777	62.370909	Thunder
7.165740	8.485745	AAA
9.455544	11.287388	AAA
12.795965	14.978013	AAA
16.055568	18.749456	AAA
19.719255	22.278448	AAA
23.436820	25.726624	AAA
26.965812	29.040105	AAA
